Date,NIFTY50
2018-02-01,-0.04850064623309647
2018-03-01,-0.0361340749345862
2018-04-01,0.06186157410049353
2018-05-01,-0.0002978968807577642
2018-06-01,-0.0020352347109985347
2018-07-01,0.05993860607032264
2018-08-01,0.028529916787742637
2018-09-01,-0.06421384398677288
2018-10-01,-0.04975555226176587
2018-11-01,0.047190650362856745
2018-12-01,-0.001305554996896996
2019-01-01,-0.002909041610227092
2019-02-01,-0.0035500297406169112
2019-03-01,0.07703501418809355
2019-04-01,0.010689183133417934
2019-05-01,0.01486612004915
2019-06-01,-0.011234793631260787
2019-07-01,-0.05690543450834351
2019-08-01,-0.00852221622593996
2019-09-01,0.04093168487628418
2019-10-01,0.03512150849411788
2019-11-01,0.015036864515372672
2019-12-01,0.009323152479122854
2020-01-01,-0.01695783625896663
2020-02-01,-0.0635632233641571
2020-03-01,-0.23246367755038277
2020-04-01,0.14680008032624814
2020-05-01,-0.028357343873711915
2020-06-01,0.07534208943381238
2020-07-01,0.07487314384298549
2020-08-01,0.02836061021166114
2020-09-01,-0.012289808589462159
2020-10-01,0.03510547566305888
2020-11-01,0.11394126298522589
2020-12-01,0.07809420110608234
2021-01-01,-0.024828822616982826
2021-02-01,0.06560887791929848
2021-03-01,0.0111190124917242
2021-04-01,-0.004057028265849305
2021-05-01,0.06504638890590897
2021-06-01,0.008900852032429851
2021-07-01,0.002642865164742547
2021-08-01,0.08685815441979705
2021-09-01,0.02836478642760354
2021-10-01,0.003036641123716821
2021-11-01,-0.038957944315163195
2021-12-01,0.021836378277336976
2022-01-01,-0.0008183202904040732
2022-02-01,-0.03148523378512036
2022-03-01,0.03994602765117583
2022-04-01,-0.020738872228345695
2022-05-01,-0.030287879663418282
2022-06-01,-0.048496989267826196
2022-07-01,0.08732434530504896
2022-08-01,0.035029841694228736
2022-09-01,-0.03744241848626417
2022-10-01,0.053693157701163896
2022-11-01,0.04142472451938506
2022-12-01,-0.034813767827347686
2023-01-01,-0.024476278852209377
2023-02-01,-0.02028072255941904
2023-03-01,0.003224742545449466
2023-04-01,0.04062558504586766
2023-05-01,0.02598396848187101
2023-06-01,0.035320829205574666
2023-07-01,0.029430846081861972
2023-08-01,-0.02531158461791272
2023-09-01,0.01997008301729397
2023-10-01,-0.02844956791824016
2023-11-01,0.05521870494244152
2023-12-01,0.07938399947303942
2024-01-01,-0.0002623471921975318
2024-02-01,0.011833983335188147
2024-03-01,0.01565312867996771
2024-04-01,0.012449073265302424
2024-05-01,-0.0032802868369559146
2024-06-01,0.06568373117304005
2024-07-01,0.03917231541701116
2024-08-01,0.011412299454817587
2024-09-01,0.022782988118133174
2024-10-01,-0.062202524298806905
2024-11-01,-0.003067503721212228
2024-12-01,-0.020152369183212504
2025-01-01,-0.005768726574899463
2025-02-01,-0.058859860683111886
2025-03-01,0.06303590285390537
2025-04-01,0.03464592443705139
2025-05-01,0.017115829300808905
2025-06-01,0.030962824756055607
2025-07-01,-0.029341211031532977
2025-08-01,-0.013787757577143567
2025-09-01,0.007542929315341729
2025-10-01,0.04514223328634981
2025-11-01,0.01869402640831641
2025-12-01,-0.0027992883076883857
2026-01-01,-0.030959112686126167
