Date,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
2018-01-31 00:00:00+05:30,114.38636779785156,409.4611511230469,590.3986206054688,163.411376953125,380.3720703125,467.9667663574219,339.0220031738281,1671.0076904296875,462.1302185058594,193.9989013671875,220.6356658935547,1256.669921875,709.1085815429688,8830.4501953125,424.6360473632813,289.0409851074219,56.64593124389648,1277.9990234375
2018-02-28 00:00:00+05:30,109.20891571044922,389.8879699707031,525.8983764648438,159.74937438964844,370.6000671386719,439.6186218261719,300.8886413574219,1602.0455322265625,471.109619140625,189.4598693847656,216.97482299804688,1169.417236328125,676.861572265625,8218.7529296875,421.65435791015625,247.2880706787109,53.958457946777344,1246.2576904296875
2018-03-31 00:00:00+05:30,83.91195678710938,338.0906677246094,507.7467651367188,172.14755249023438,344.7865295410156,440.0618591308594,267.36578369140625,1712.613525390625,454.71771240234375,182.6334381103516,208.4693145751953,1162.9852294921875,686.6658325195312,8228.1787109375,389.91595458984375,230.58685302734372,45.87995147705078,1169.9232177734375
2018-04-30 00:00:00+05:30,88.50873565673828,388.8854675292969,514.5100708007812,185.7972412109375,354.1693420410156,453.6410217285156,272.9849853515625,1809.1224365234373,481.91705322265625,201.18272399902344,240.9593048095703,1242.830078125,811.56494140625,8185.3232421875,425.51953125,227.3573455810547,47.80015182495117,1450.357421875
2018-05-31 00:00:00+05:30,76.44222259521484,374.4203796386719,542.9558715820312,205.49017333984372,323.08056640625,502.3613586425781,274.5218505859375,1863.8819580078125,494.8941345214844,198.03111267089844,265.53082275390625,1215.7716064453125,857.7050170898438,7927.4130859375,406.9888916015625,248.7182464599609,46.24952697753906,1441.7242431640625
2018-06-30 00:00:00+05:30,71.48296356201172,356.2794494628906,508.0451354980469,223.64913940429688,330.301513671875,495.0823059082031,264.5322570800781,1848.814453125,538.0604858398438,194.05810546875,267.1921081542969,1131.2244873046875,834.2399291992188,8195.212890625,432.4328308105469,239.3065490722656,45.61481857299805,1530.079833984375
2018-07-31 00:00:00+05:30,123.85485076904295,383.600830078125,547.4315795898438,263.2090148925781,337.7818298339844,511.7654724121094,292.2437744140625,1916.593505859375,561.892822265625,217.0214385986328,260.1423645019531,1155.3555908203125,876.8497314453125,8840.525390625,527.3949584960938,270.8173217773437,46.04342651367188,1609.872802734375
2018-08-31 00:00:00+05:30,142.7388458251953,367.6714477539063,645.7484741210938,278.6919250488281,334.11700439453125,483.9875793457031,330.5508728027344,1831.5299072265625,593.1754760742188,233.16856384277344,256.24078369140625,1230.5321044921875,904.3464965820312,8521.7470703125,552.1416625976562,285.67303466796875,49.10590362548828,1724.5439453125
2018-09-30 00:00:00+05:30,128.98577880859375,315.61297607421875,609.942626953125,211.5115966796875,294.68621826171875,471.0379638671875,294.80389404296875,1623.50634765625,600.99609375,217.05784606933597,227.2476043701172,1142.9737548828125,806.5856323242188,6883.751953125,559.3900146484375,244.98123168945312,47.53173065185547,1811.91552734375
2018-10-31 00:00:00+05:30,167.89878845214844,305.968994140625,579.259033203125,232.4432678222656,254.4720916748047,448.8954772949219,342.5147705078125,1368.98828125,571.2156982421875,204.19110107421875,222.77870178222656,1165.79541015625,717.5844116210938,6198.41650390625,471.9207458496094,259.6524658203125,45.29108810424805,1611.5592041015625
2018-11-30 00:00:00+05:30,162.96058654785156,350.8783874511719,622.3751220703125,247.57980346679688,275.15924072265625,499.7784729003906,342.65948486328125,1567.5499267578125,555.4456787109375,208.3463897705078,245.63082885742188,1287.09228515625,740.9589233398438,7177.58740234375,519.190673828125,262.6512756347656,43.29987716674805,1636.587158203125
2018-12-31 00:00:00+05:30,159.01004028320312,372.0376586914063,616.5567626953125,258.06268310546875,274.2815246582031,498.1935119628906,347.483642578125,1536.3294677734375,548.3721313476562,205.321044921875,250.1196746826172,1291.629638671875,753.091064453125,6993.8759765625,498.6017761230469,273.0318603515625,42.6088752746582,1574.05908203125
2019-01-31 00:00:00+05:30,135.4547882080078,324.9691467285156,718.8023071289062,251.2041473388672,268.9275817871094,488.3902587890625,351.6324157714844,1446.2708740234375,627.1974487304688,203.1340789794922,249.9703521728516,1180.89013671875,637.1084594726562,6221.6025390625,545.6937866210938,270.9557189941406,38.982154846191406,1678.3011474609375
2019-02-28 00:00:00+05:30,127.25741577148438,312.686279296875,705.7232055664062,258.4382629394531,279.1527099609375,487.8267517089844,337.8353271484375,1415.81884765625,614.4368286132812,201.23870849609372,241.4804534912109,1161.707275390625,605.1149291992188,6398.2421875,547.4280395507812,248.25689697265625,40.924312591552734,1652.7608642578125
2019-03-31 00:00:00+05:30,136.09677124023438,365.8961486816406,776.4895629882812,292.2771911621094,289.5974426269531,540.7173461914062,386.4627685546875,1749.3963623046875,617.3656005859375,218.69810485839844,266.8905334472656,1245.9410400390625,614.5302734375,6179.53955078125,604.77001953125,294.3466186523437,41.4026985168457,1666.8018798828125
2019-04-30 00:00:00+05:30,125.47965240478516,376.9315490722656,762.7141723632812,302.0430603027344,306.1797180175781,544.1574096679688,393.1683654785156,1543.2459716796875,628.70361328125,219.6822052001953,276.00750732421875,1211.6634521484375,604.552734375,6245.2578125,619.3555908203125,285.9960021972656,45.56504821777344,1883.4954833984373
2019-05-31 00:00:00+05:30,152.8372802734375,399.57818603515625,803.940673828125,338.252685546875,333.4233093261719,569.4932250976562,408.7986145019531,1542.14111328125,617.3236694335938,207.10403442382807,303.0001220703125,1399.4488525390625,606.1921997070312,6435.8544921875,591.4962768554688,325.2575988769531,39.93074417114258,1830.332275390625
2019-06-30 00:00:00+05:30,148.63978576660156,393.628662109375,804.1892700195312,359.1307067871094,331.3680725097656,577.3801879882812,421.7273559570313,1354.9632568359375,621.1646728515625,203.60952758789065,294.0325012207031,1395.5400390625,613.9680786132812,6121.8310546875,557.2333984375,333.3313903808594,41.247318267822266,1870.8907470703125
2019-07-31 00:00:00+05:30,127.5832748413086,362.4882507324219,671.2970581054688,317.828369140625,322.717041015625,531.9930419921875,410.6678466796875,1357.220703125,673.4800415039062,200.89573669433597,302.6455993652344,1262.604248046875,522.4569702148438,5124.158203125,518.6126098632812,306.5264587402344,36.25448989868164,1857.157958984375
2019-08-31 00:00:00+05:30,136.05250549316406,351.11102294921875,661.1394653320312,325.6908874511719,331.511474609375,527.56494140625,396.2083740234375,1347.881591796875,691.5125732421875,182.6426696777344,285.09893798828125,1208.8619384765625,502.3185424804688,5816.91015625,558.542724609375,252.6859436035156,28.941495895385746,1902.5406494140625
2019-09-30 00:00:00+05:30,144.4722137451172,397.4361877441406,682.1517944335938,395.4273986816406,350.8687438964844,581.3053588867188,419.4692687988281,1336.099853515625,683.6631469726562,193.200439453125,327.5216979980469,1341.7388916015625,519.7496948242188,6379.2939453125,595.9862060546875,249.8716735839844,30.250532150268555,1767.5711669921875
2019-10-31 00:00:00+05:30,197.76397705078125,380.0102233886719,733.2882080078125,393.6193542480469,357.7513732910156,582.6787719726562,447.856201171875,1268.16259765625,589.1137084960938,191.5647430419922,313.5899353027344,1340.6466064453125,576.0800170898438,7180.62353515625,655.08154296875,288.2566833496094,31.93298721313477,1953.9698486328125
2019-11-30 00:00:00+05:30,212.8699188232422,366.8087158203125,735.97705078125,398.1785583496094,422.94482421875,603.80078125,495.7803039550781,1515.2861328125,598.3507080078125,183.2002716064453,321.6960144042969,1210.955322265625,503.9809265136719,6882.78466796875,693.911865234375,315.4306640625,35.872684478759766,1767.6685791015625
2019-12-31 00:00:00+05:30,206.38177490234372,351.3990783691406,750.9644165039062,413.8693542480469,435.7062683105469,602.4509887695312,521.2174072265625,1458.213134765625,628.2533569335938,176.7317657470703,335.468505859375,1181.512939453125,504.9308471679688,6999.38427734375,677.3150024414062,307.9566650390625,39.61100006103516,1861.0343017578125
2020-01-31 00:00:00+05:30,227.28244018554688,354.66339111328125,726.267578125,426.6867980957031,474.5642395019531,580.7607421875,508.4022216796875,1215.676513671875,666.7484130859375,174.8358154296875,336.9422912597656,1246.2220458984375,538.7481079101562,6567.08740234375,631.5060424804688,293.839111328125,36.81250762939453,1793.9444580078125
2020-02-29 00:00:00+05:30,216.58447265625,328.5484619140625,694.4005737304688,436.4551086425781,500.4217224121094,557.720703125,480.93402099609375,1066.1856689453125,628.7258911132812,146.8799285888672,322.7217712402344,1080.80859375,434.1616516113281,5968.27490234375,594.3756713867188,279.5831298828125,32.0336799621582,1725.864013671875
2020-03-31 00:00:00+05:30,137.26658630371094,243.94129943847656,377.4241027832031,217.0516357421875,421.463134765625,408.1853637695313,313.1269836425781,339.2518310546875,551.2200317382812,127.66026306152344,258.1316223144531,746.1339721679688,270.68017578125,4073.427978515625,498.239501953125,181.6367645263672,22.62286758422852,1587.1949462890625
2020-04-30 00:00:00+05:30,141.05735778808594,281.6051330566406,443.0501098632813,227.07260131835935,491.6272888183594,474.4402770996094,367.6763610839844,452.0943603515625,614.8057861328125,135.35552978515625,270.31072998046875,828.3148803710938,348.28875732421875,5090.2880859375,655.8197021484375,175.7775115966797,25.031164169311523,1750.9033203125
2020-05-31 00:00:00+05:30,147.99053955078125,314.3182678222656,383.349365234375,191.37240600585935,528.2388916015625,450.68988037109375,321.0578918457031,380.1494140625,601.836181640625,146.73121643066406,243.7815399169922,860.338134765625,414.498291015625,5329.66162109375,661.3135986328125,148.83419799804688,24.77103614807129,1714.31103515625
2020-06-30 00:00:00+05:30,155.8713836669922,333.8297119140625,404.9591674804688,277.3144226074219,535.169189453125,504.7735595703125,339.9180908203125,458.5162963867188,640.98583984375,144.72377014160156,270.9580078125,870.8588256835938,485.125,5545.76171875,769.5606079101562,164.6587677001953,27.414283752441406,1815.0662841796875
2020-07-31 00:00:00+05:30,174.82533264160156,305.9701232910156,429.8551940917969,318.4854736328125,530.3897094726562,489.1214904785156,335.420654296875,505.7875061035156,841.3511352539062,152.07550048828125,272.0135803222656,842.9883422851562,578.5513305664062,5948.9443359375,937.2877197265624,176.6540985107422,30.73722648620605,1993.218017578125
2020-08-31 00:00:00+05:30,278.8725891113281,345.3326721191406,494.68450927734375,341.652099609375,492.2415161132813,528.4530029296875,381.6522216796875,608.5867309570312,808.777099609375,149.68649291992188,279.1039733886719,879.672607421875,578.9805908203125,6555.666015625,943.4544677734376,195.6159210205078,35.55424118041992,1972.119384765625
2020-09-30 00:00:00+05:30,296.3800964355469,331.74267578125,422.88427734375,321.1596374511719,403.8376159667969,510.8118591308594,343.1098022460937,509.3123779296875,878.1492919921875,134.4906768798828,252.5847625732422,839.3172607421875,579.9346923828125,6463.17724609375,1013.1242065429688,171.0716552734375,30.970064163208008,2177.478271484375
2020-10-31 00:00:00+05:30,338.8768615722656,349.3126525878906,490.4521789550781,324.1374816894531,416.1172180175781,560.5149536132812,379.7178649902344,565.6128540039062,933.6676635742188,129.4384765625,308.1925048828125,865.2899780273438,566.674072265625,6675.66259765625,931.5745849609376,174.62413024902344,35.34332275390625,2338.15869140625
2020-11-30 00:00:00+05:30,397.4345703125,399.4987487792969,599.0985107421875,480.8480529785156,444.4179992675781,682.3689575195312,457.8182373046875,828.2361450195312,968.3522338867188,151.68386840820312,379.8331604003906,1065.0931396484375,688.78564453125,6743.37548828125,875.0316162109375,225.3735198974609,49.702762603759766,2351.14501953125
2020-12-31 00:00:00+05:30,478.3879699707031,469.5845336914063,617.8701782226562,518.6984252929688,488.979736328125,680.2142944335938,517.49365234375,864.2568359375,1105.506103515625,163.70736694335938,397.4595031738281,1221.8582763671875,687.4500122070312,7331.6650390625,900.197021484375,253.70095825195312,55.41037368774414,2511.7978515625
2021-01-31 00:00:00+05:30,505.42230224609375,494.774658203125,660.1436767578125,463.7791442871094,531.0951538085938,658.52392578125,519.3797607421875,817.0822143554688,1090.7608642578125,159.20343017578125,341.1647033691406,1266.5533447265625,715.1159057617188,6907.125,835.19775390625,260.29833984375,51.738731384277344,2735.116455078125
2021-02-28 00:00:00+05:30,831.6300048828125,656.10791015625,721.7862548828125,515.730224609375,533.6853637695312,726.6731567382812,578.1363525390625,1026.4951171875,1103.3052978515625,163.6073760986328,354.588623046875,1368.849609375,769.302978515625,6580.77734375,945.7669067382812,359.99786376953125,61.5656623840332,2544.312744140625
2021-03-31 00:00:00+05:30,1028.6512451171875,681.8319702148438,694.550048828125,504.46038818359375,496.2707824707031,707.37451171875,562.9998779296875,921.7162475585938,1204.3221435546875,175.3652801513672,349.141357421875,1346.4544677734375,758.6658935546875,6574.1162109375,908.2681274414062,336.1456298828125,69.89033508300781,2793.57470703125
2021-04-30 00:00:00+05:30,1155.8922119140625,708.6722412109375,711.927490234375,534.048095703125,514.9300537109375,668.84814453125,580.796142578125,902.885009765625,1192.26171875,162.6041717529297,348.30487060546875,1272.0098876953125,717.9302368164062,6187.33837890625,904.3687133789062,326.1802978515625,89.01473999023438,2668.5703125
2021-05-31 00:00:00+05:30,1313.1103515625,747.0155639648438,747.57861328125,551.2933959960938,513.1553344726562,717.8880615234375,641.0035400390625,978.2581787109376,1240.1865234375,173.84039306640625,360.035888671875,1392.7628173828125,770.7816772460938,6791.77685546875,979.5475463867188,391.5547790527344,96.90467071533205,2790.72021484375
2021-06-30 00:00:00+05:30,1503.89697265625,687.8794555664062,745.1885375976562,589.2906494140625,504.2812805175781,712.4573974609375,610.1986083984375,981.4932861328124,1406.6273193359375,167.38819885253906,339.7506103515625,1423.9356689453125,741.92333984375,7203.521484375,960.37109375,390.37396240234375,102.67742919921876,2955.558349609375
2021-07-31 00:00:00+05:30,1417.7200927734375,659.3358764648438,705.952392578125,611.0676879882812,538.8179321289062,678.4730834960938,662.038330078125,947.3556518554688,1433.054931640625,169.2462158203125,329.58306884765625,1536.8851318359375,716.8941650390625,6687.69091796875,926.0860595703124,402.1075134277344,126.23883819580078,2804.158447265625
2021-08-31 00:00:00+05:30,1584.7720947265625,731.4766845703125,783.229736328125,738.2634887695312,637.0550537109375,752.1732177734375,697.4925537109375,963.0904541015624,1518.43310546875,174.49000549316406,349.4542236328125,1604.78271484375,765.3238525390625,6603.3955078125,1027.4854736328125,396.7529296875,127.64266967773438,3352.162109375
2021-09-30 00:00:00+05:30,1465.48486328125,721.310546875,763.3626708984375,752.3527221679688,672.716796875,758.6180419921875,679.838134765625,1079.0611572265625,1490.626220703125,195.01097106933597,399.6296081542969,1634.29296875,774.72998046875,7077.90478515625,1146.2889404296875,421.8497314453125,113.44157409667967,3342.51220703125
2021-10-31 00:00:00+05:30,1421.064208984375,677.4199829101562,738.914794921875,726.06787109375,669.8336181640625,752.86279296875,778.004150390625,1106.525146484375,1497.1488037109375,184.3169403076172,404.7408142089844,1695.4249267578125,853.06640625,7217.13818359375,1154.0242919921875,467.6199645996094,115.82235717773438,3013.816650390625
2021-11-30 00:00:00+05:30,1659.88818359375,668.4756469726562,652.923828125,686.5325927734375,711.7623291015625,710.3883666992188,692.9334716796875,856.9214477539062,1537.4556884765625,182.62405395507807,390.9415588378906,1693.6014404296875,806.03564453125,6817.236328125,1094.4859619140625,428.8805541992188,94.28086853027344,3130.36865234375
