Rep,cp,mp,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,0.6,0.4,-0.11375325722219715,0.018465806383076825,0.10491041491557282,0.6256346889259722,0.019611136213048438,0.05203058301278915,-4.8497674377474145e-05,2.437978684199685e-05
R2,0.6,0.2,-0.12342472417552929,0.01650942326815196,0.11175111555794477,0.5341369269429672,0.023189953682306728,0.05540108082740393,-4.5118351546121034e-05,2.9489074518033686e-05
R3,0.7,0.2,-0.2449410824968988,0.0162885942688589,0.2093835571904386,0.410418654545689,0.0467339624505622,0.10646076412110411,-0.00019285153253683647,0.00032632072027300075
R4,0.7,0.4,-0.11711964282033221,0.010763450622848498,0.12253344214988557,0.4549044718154948,0.029182323300879595,0.058404034730841915,-1.1001280636077279e-05,3.027214327452673e-05
R5,0.6,0.4,-0.11558092968464384,0.02143095043370552,0.10207617527164459,0.6045848377680771,0.020748505846120254,0.05094169105417523,-5.936093229051464e-05,722037.8999996264
R6,0.6,0.4,-0.11476431942380669,0.014504945575460209,0.10683267951490584,0.5720631108487153,0.020349989562567224,0.052885253354200315,-3.445629024023366e-05,2.4521146837821393e-05
R7,0.6,0.3,-0.11611215525101388,0.01180942992693146,0.11428969007216366,0.48511026903919424,0.025419256209323178,0.055395325915183986,-1.868488205133101e-05,2.6328027397730995e-05
R8,0.8,0.3,-0.11402724990130801,0.01334205465344693,0.13317677833967015,0.5867609332907703,0.02755320351868512,0.061310450622152124,9.240155141882371e-07,4.031564195425872e-05
R9,0.7,0.2,-0.2400699081805441,0.017219919132829914,0.19469315725677014,0.41584134741767786,0.04211023957220498,0.10045793164242053,-0.00021229033041545673,0.0002732706346268866
R10,0.8,0.4,-0.21731379385019925,0.016044410612171305,0.07833016478794062,1.884912598086036,-0.04939501821707422,0.0870295990885082,5.344921549469637e-05,26491512.78546382
R11,0.8,0.4,-0.22185904127212974,0.014564666832392183,0.07798445513689069,0.30675843667782315,0.011080786976844146,0.05201602361253106,-0.00016586237010196017,11832.57612831447
R12,0.7,0.4,-0.11836943740908745,0.009168818476454425,0.12345038317775035,0.6011554704463061,0.0209138504795109,0.05962940152989775,-7.456767058803224e-06,3.697155435064703e-05
R13,0.6,0.4,-0.11253942989569543,0.015613752028581528,0.12253603345472053,0.5619167610560357,0.02678939896146309,0.05728016588127072,-1.6652175411648994e-05,3.147720958593383e-05
R14,0.7,0.2,-0.2470201560617452,0.03171871283007119,0.19565726264950076,0.5424749514269663,0.0358450992730917,0.10215640905247042,-0.00044886661803014813,0.0003603404938288198
R15,0.8,0.2,-0.11650854994255501,0.013702048032883435,0.13984037651556022,0.5580194805920472,0.030864310411182136,0.06379842524721431,6.060327946804852e-06,4.57840609446583e-05
R16,0.7,0.2,-0.13909770240662525,0.009842235540727362,0.10855012835132692,0.7682316552534464,0.005399242394054903,0.06026593496390367,-8.134110021554178e-05,1327898.8312717893
R17,0.6,0.4,-0.11358277407381288,0.011724473748151665,0.12966318031705307,0.5688186167483227,0.02659604994444496,0.06030518758622223,9.168639428530142e-07,3.7282368193493665e-05
R18,0.8,0.3,-0.11244778092963591,0.011385112677440934,0.12333359907586088,0.5434197343035972,0.025851445867279728,0.058066422424389474,-4.892080869173109e-06,3.18804878620858e-05
R19,0.8,0.2,-0.11467898049090389,0.014618517809162634,0.11457897882350111,0.5666327153371318,0.023138788133189637,0.05528566200187075,-2.638257367598043e-05,2.8229801489170107e-05
R20,0.7,0.4,-0.1182369832245673,0.011954060415337097,0.12124680209018482,0.482386684109562,0.027634960794092424,0.05804665184929072,-1.5041644465318168e-05,3.096406286238069e-05
R21,0.8,0.2,-0.11493382519845141,0.016192137065899642,0.13441830582457642,0.5199329367008121,0.03265650233897904,0.061319440777798204,-6.365921844781393e-06,3.878380186740569e-05
R22,0.8,0.4,-0.225827517605133,0.01406947160240136,0.07359572547736472,2.3345090773461763,-0.060981372981951464,0.09290242408052811,0.0003160931524706841,69681854.04258282
R23,0.7,0.3,-0.12334036682179793,0.017007845524121372,0.1033414134614939,0.63429157967653,0.016185433718992406,0.05364870609128093,-6.372514476447495e-05,771692.1484508411
R24,0.7,0.3,-0.11559143605949326,0.009045266411280211,0.12812117929357958,0.6721316427832429,0.019601744261543732,0.06065556660581707,2.3492990618753395e-06,4.039940848210826e-05
R25,0.8,0.4,-0.20648901129409544,0.013603263981637585,0.0764455480982631,0.3211881984116327,0.010632923619477107,0.050535315732191916,-0.00014363650781993426,17612.480662906204
