Month,Baseline - MODEL I RESULTS,Baseline - MODEL II RESULTS,Baseline - MODEL III RESULTS,Baseline - Universe EW Proxy,Modified - MODEL I RESULTS,Modified - MODEL II RESULTS,Modified - MODEL III RESULTS,Modified - Universe EW Proxy
1,,,,0.0097431047891798,,,,0.0097431047891798
2,,,,0.0245935363712558,,,,0.0245935363712558
3,,,,0.0317235013902087,,,,0.0317235013902087
4,,,,0.0147401193578653,,,,0.0147401193578653
5,,,,0.017588209354644,,,,0.017588209354644
6,,,,0.0492906652117522,,,,0.0492906652117522
7,,,,0.0296251065608982,,,,0.0296251065608982
8,,,,-0.0056765197195977,,,,-0.0056765197195977
9,,,,0.0280756353704053,,,,0.0280756353704053
10,,,,-0.0722130832366336,,,,-0.0722130832366336
11,,,,-0.0090076379054689,,,,-0.0090076379054689
12,,,,-0.0138011603096474,,,,-0.0138011603096474
13,,,,0.0013940038245001,,,,0.0013940038245001
14,,,,-0.0461617329662368,,,,-0.0461617329662368
15,,,,0.0461552889464385,,,,0.0461552889464385
16,,,,0.0366709527497881,,,,0.0366709527497881
17,,,,0.0374296280521974,,,,0.0374296280521974
18,,,,0.0283989802016681,,,,0.0283989802016681
19,,,,-0.0414118745126478,,,,-0.0414118745126478
20,,,,-0.0124448162955866,,,,-0.0124448162955866
21,,,,0.0349142648186802,,,,0.0349142648186802
22,,,,0.0529149159190453,,,,0.0529149159190453
23,,,,0.0161802035287188,,,,0.0161802035287188
24,,,,0.0034335126566315,,,,0.0034335126566315
